task,component,gate,depends_on,planned_steps
1,Environment freeze,C0_RUNTIME_FREEZE_PASS,Task 0,6
2,Registry 47 lock,C0_REGISTRY_47_LOCK_PASS,Task 1,6
3,Fixed-point domain,C1_DOMAIN_CONTRACT_PASS,Task 2,5
4,SQLite event store,C1_EVENT_STORE_PASS,Task 3,6
5,Transactional outbox,C1_TRANSACTIONAL_OUTBOX_PASS,Task 4,5
6,Binance provider,C1_BINANCE_PROVIDER_PASS,Task 5,6
7,Polymarket provider,C1_POLYMARKET_PROVIDER_PASS,Task 5,7
8,Restart recovery,C1_RESTART_RECOVERY_PASS,"Tasks 4,6,7",7
9,Infrastructure canary,C1_CANARY_PASS,"Tasks 4,5,8",5
10,REST/WebSocket API,C1_PUSH_API_PASS,"Tasks 5,9",6
11,Windows lifecycle,C1_WINDOWS_LIFECYCLE_PASS,"Tasks 4,8,10",5
12,Safe launchers,C1_SAFE_DELIVERY_PASS,Tasks 1-11,5
13,Provider capability smoke,C1_PROVIDER_CAPABILITY_PASS,Tasks 1-12,4
14,Intentional downtime acceptance,BTC_LIVE_BACKEND_WINDOWS_V1_C1_PASS,Tasks 1-13,8
