registry_index,strategy_id,strategy_name,version,strategy_generation,parent_strategy_id,stage_origin,side_family,side_detail,horizon_rule,sample_scope,trades,wins,losses,win_rate,pnl_5_shares,turnover_5_shares,roi,source_label,source_rule_id,overlay_regime,overlay_threshold_pp,overlay_definition,parent_full_trades,parent_full_roi,comparable_baseline_trades,comparable_baseline_roi,retention_vs_comparable,retention_vs_parent_full,evidence_class,research_status,robustness_status,live_status,criterion_roi_improved,criterion_retention_at_least_half,criterion_drawdown_not_worse,criterion_temporal_stability,criterion_not_one_month,criterion_stress5_not_lower,criterion_top_winner_positive,max_drawdown_5_shares,positive_blocks,blocks_with_trades,largest_month_pnl_share,provenance_artifact,provenance_sha256,notes
1,NO_C1,NO C1 — favorite-switch fade,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,"T−30, смена фаворита",Confirmation 136,6,6,0,1.0,8.424999999999999,21.575000000000006,0.3904982618771725,NO successful candidates freeze / confirmation,NO_CONFIRMATION_FREEZE,BASELINE,,Frozen original strategy; no volatility overlay.,6,0.3904982618771725,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
2,NO_A2,NO A2 — direct actual-NO edge,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60 primary → T−30 fallback,Confirmation 136,48,37,11,0.7708333333333334,40.6225,144.37750000000003,0.28136309327977,NO successful candidates freeze / confirmation,NO_CONFIRMATION_FREEZE,BASELINE,,Frozen original strategy; no volatility overlay.,48,0.28136309327977,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
3,NO_FADE_P1_U2_T18,NO Fade P1 U2 — isolated T−18h,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−18h only,OOS 136,10,9,1,0.9,8.524999999999999,36.47500000000001,0.233721727210418,Early Confidence V2 / robustness,EARLY_CONFIDENCE_V2,BASELINE,,Frozen original strategy; no volatility overlay.,10,0.233721727210418,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
4,NO_A0,NO A0 — legacy NO Fade,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60 primary → T−30 fallback,Confirmation 136,31,29,2,0.9354838709677419,19.2375,125.76250000000003,0.1529669018984196,NO successful candidates freeze / confirmation,NO_CONFIRMATION_FREEZE,BASELINE,,Frozen original strategy; no volatility overlay.,31,0.1529669018984196,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
5,YES_FAVORITE_NEIGHBOR_BASKET,YES B — favorite + best neighbor,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES basket,T−60 primary → T−30 fallback,Historical 170,17,15,2,0.8823529411764706,9.74999956505,65.25000043511045,0.149425279694,Favorite+Neighbor Basket audit,FAVORITE_BASKET,BASELINE,,Frozen original strategy; no volatility overlay.,17,0.149425279694,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
6,NO_FADE_P1_T60_U1_EQUALS_U2,NO Fade P1 — isolated T−60m (U1=U2),V1,ORIGINAL_BASELINE,,PRE_STAGE_A,NO,NO,T−60m only,OOS 136,14,13,1,0.9285714285714286,7.987499999999997,57.01250000000002,0.1401008550756412,Early Confidence V2,EARLY_CONFIDENCE_V2,BASELINE,,Frozen original strategy; no volatility overlay.,14,0.1401008550756412,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
7,YES_STRICT_A_T60,YES Strict A — isolated T−60m,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES,T−60m only,Historical scan 170,28,26,2,0.9285714285714286,13.412499999999994,116.58750000000005,0.1150423501661841,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,28,0.1150423501661841,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
8,YES_STRICT_A_OPERATIONAL,YES Strict Favorite A — operational,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES,T−60 primary → T−30 fallback,Historical 170,50,46,4,0.92,21.704998910427086,208.29500108957293,0.10420316760791251,Early Horizon V1 reproduction,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,50,0.10420316760791251,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
9,YES_PF1_OPERATIONAL,YES PF1 — operational late,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES,T−60 primary → T−30 fallback,Historical 170,131,89,42,0.6793893129770993,41.19000004455445,403.80999995544556,0.10200341757038993,Early Horizon V1 reproduction,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,131,0.10200341757038993,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
10,YES_STRICT_A_T30,YES Strict A — isolated T−30m,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES,T−30m only,Historical scan 170,31,29,2,0.9354838709677419,13.302499999999997,131.69750000000005,0.1010079917993887,Early Horizon V1,EARLY_HORIZON_FULL,BASELINE,,Frozen original strategy; no volatility overlay.,31,0.1010079917993887,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
11,YES_PF1_T60,YES PF1 — isolated T−60m,V1,ORIGINAL_BASELINE,,PRE_STAGE_A,YES,YES,T−60m only,OOS 136,92,63,29,0.6847826086956522,28.484999999999992,286.51500000000004,0.0994188785927438,Early Confidence V2 / robustness,EARLY_CONFIDENCE_V2,BASELINE,,Frozen original strategy; no volatility overlay.,92,0.0994188785927438,,,,1.0,ORIGINAL_SOURCE_EVIDENCE,ORIGINAL_EXISTING,UNCHANGED_BY_STAGE_A,PRESERVE_EXISTING_STATUS,,,,,,,,,,,,STRATEGY_REGISTRY_34.csv,3bdd6bfbcddadfd65a94b281fa9eddf1800f9728d9be065e06c843dd1bd635b7,Original V1 row preserved. Stage A did not replace or modify the parent strategy.
